LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID515335,515335,0,0.6965312361717224,269.45820000000003,68.08890000000001,0.0,140.0,7,20.0,1,,30.64992389649924,29.0,0.0,82.0,20137.0,22.220056670479526,0.8147321637427976,1.2385585991960595
ID517894,517894,0,0.6787841320037842,252.0738,65.1915,0.0,340.0,17,20.0,1,,29.87214611872146,28.0,0.0,83.0,19626.0,21.827178050246285,0.8211492042435609,1.2341711139809823
ID524811,524811,0,0.8165419697761536,215.8563,42.0123,0.0,920.0,46,20.0,1,,40.2648401826484,47.0,0.0,93.0,26454.0,25.228586603785907,0.8010020340791625,1.4196538693704304
ID527117,527117,0,1.1393835544586182,191.22840000000002,46.3584,0.0,1120.0,56,20.0,1,,54.07001522070015,58.0,0.0,149.0,35524.0,34.01557165161789,0.8273790363996284,1.439410240137677
ID516495,516495,0,0.7467081546783447,266.56080000000003,66.64020000000001,0.0,200.0,10,20.0,1,,32.407914764079145,32.0,0.0,89.0,21292.0,23.60009426795025,0.8290967786259592,1.2449040756370289
ID525701,525701,0,1.0971076488494873,202.818,47.807100000000005,0.0,1020.0,51,20.0,1,,51.93607305936073,57.0,0.0,133.0,34122.0,34.18037062971811,0.8121206618370088,1.3619331307465585
ID520841,520841,0,0.7644404172897339,233.2407,65.1915,0.0,580.0,29,20.0,1,,34.87062404870624,34.0,0.0,89.0,22910.0,24.56592682432353,0.8092929277951758,1.2698529173235713
ID520456,520456,0,0.610551655292511,237.5868,62.29410000000001,0.0,520.0,26,20.0,1,,28.295281582952814,29.0,0.0,72.0,18590.0,19.57679980250808,0.7622806009283793,1.2503803019491921
ID522504,522504,0,1.0692087411880493,210.06150000000002,55.0506,0.0,760.0,38,20.0,1,,48.1841704718417,53.0,0.0,124.0,31657.0,32.91690191939233,0.8693784305239711,1.361529522033925
ID527367,527367,0,1.0514706373214722,189.77970000000002,47.807100000000005,0.0,1180.0,59,20.0,1,,53.38812785388128,62.0,0.0,131.0,35076.0,36.22919982297289,0.6957438098094034,1.209219260576905
ID515093,515093,0,0.6967557072639465,272.35560000000004,69.5376,0.0,100.0,5,20.0,1,,30.636225266362253,29.0,0.0,81.0,20128.0,22.120996876335308,0.8169906994258713,1.2454461765292806
ID519061,519061,0,0.7003660202026367,252.0738,65.1915,0.0,360.0,18,20.0,1,,30.14916286149163,27.0,0.0,96.0,19808.0,23.124575870849355,0.8040339850202701,1.1621472761958402
ID521365,521365,0,0.8119723796844482,230.34330000000003,65.1915,0.0,620.0,31,20.0,1,,36.473363774733635,36.0,0.0,106.0,23963.0,28.076273070903095,0.7662254676753055,1.1271372334357894
ID523672,523672,0,0.864649772644043,208.61280000000002,47.807100000000005,0.0,840.0,42,20.0,1,,38.03957382039574,37.0,0.0,105.0,24992.0,26.984666238684856,0.8207516907745689,1.2708949429972076
ID516263,516263,0,0.6859599947929382,266.56080000000003,68.08890000000001,0.0,180.0,9,20.0,1,,30.331811263318112,31.0,0.0,80.0,19928.0,21.061671390106053,0.8298228593076274,1.3062065391873274
ID524584,524584,0,0.8613654375076294,211.51020000000003,46.3584,0.0,860.0,43,20.0,1,,39.96803652968037,44.0,0.0,97.0,26259.0,27.166837992951052,0.7999410681994742,1.307685848464318
ID522278,522278,0,0.8628429174423218,220.2024,60.845400000000005,0.0,680.0,34,20.0,1,,40.71689497716895,43.0,0.0,92.0,26751.0,28.461820341879097,0.7776518358137651,1.2516429872158994
ID520226,520226,0,0.658942699432373,236.1381,63.7428,0.0,540.0,27,20.0,1,,30.601217656012178,31.0,0.0,75.0,20105.0,21.1357949408899,0.784662400517168,1.2731421170811044
ID526637,526637,0,1.0795955657958984,197.0232,46.3584,0.0,1080.0,54,20.0,1,,50.8675799086758,56.0,0.0,136.0,33420.0,31.96361974134959,0.8040032705119198,1.4185204824526074
ID517664,517664,0,0.7353630661964417,256.41990000000004,65.1915,0.0,300.0,15,20.0,1,,32.277016742770165,32.0,0.0,84.0,21206.0,22.822939323831474,0.8486060554117573,1.2984151153961245
ID524335,524335,0,0.8000048398971558,217.305,42.0123,0.0,900.0,45,20.0,1,,38.89041095890411,43.0,0.0,101.0,25551.0,25.326108118349314,0.7639985709064062,1.3301431699253903
ID518830,518830,0,0.6438204646110535,249.17640000000003,62.29410000000001,0.0,420.0,21,20.0,1,,29.228310502283104,27.0,0.0,75.0,19203.0,21.629775428759377,0.7477023547250872,1.1562266482863575
ID525475,525475,0,1.0321502685546875,210.06150000000002,44.9097,0.0,980.0,49,20.0,1,,49.87975646879757,57.0,0.0,111.0,32771.0,30.14390032444161,0.862792781154353,1.5328400233428239
ID523435,523435,0,1.0592371225357056,208.61280000000002,50.7045,0.0,800.0,40,20.0,1,,45.29832572298326,46.0,0.0,111.0,29761.0,33.36708086733326,0.8797434619997769,1.270724481649823
ID526887,526887,0,1.097726583480835,194.12580000000003,46.3584,0.0,1100.0,55,20.0,1,,51.305936073059364,55.0,0.0,134.0,33708.0,32.33663224318933,0.824283292012846,1.4337949292208867
ID521142,521142,0,0.829258918762207,233.2407,65.1915,0.0,600.0,30,20.0,1,,36.65296803652968,36.0,0.0,106.0,24081.0,27.799227833863267,0.8030539991231657,1.1744713487396514
